Bucket label,m/z,Name,Formula,Topical_X401Y338-X415Y353,Topical_X440Y338-X454Y353,Topical_X478Y338-X492Y353,Topical_X516Y338-X530Y353,Topical_X554Y293-X568Y308,Topical_X592Y292-X606Y307,Topical_X630Y293-X644Y308,Topical_X668Y293-X682Y308,Topical_X706Y293-X720Y308,Topical_X744Y293-X758Y308,Topical_X781Y293-X795Y308,Topical_X819Y293-X833Y308,Topical_X554Y337-X568Y352,Topical_X592Y338-X606Y353,Topical_X630Y338-X644Y353,Topical_X667Y338-X681Y353,Topical_X706Y338-X720Y353,Topical_X743Y338-X757Y353,Topical_X781Y338-X795Y353,Topical_X819Y338-X833Y353
Regions,,,,Cons Aveeno,Cons Aveeno,Cons Aveeno,Cons Aveeno,Cons Control,Cons Control,Cons Control,Cons Control,Cons GoldBond,Cons GoldBond,Cons GoldBond,Cons GoldBond,Cons Eucerin,Cons Eucerin,Cons Eucerin,Cons Eucerin,Cons Vaseline,Cons Vaseline,Cons Vaseline,Cons Vaseline
190.0857001166 Da,229.04811,,,2402726.5,2655459.5,1371189.625,1201001,2244011.25,2307505.75,1344803.375,2568218.5,2194431.5,2173852.75,1980745.375,913181.5,3035558.25,1351763.5,1515209.625,2389657,917195.25,872600.375,901174.25,434996.4063
434.2251425479 Da,435.23221,,,4240500,4653176,4325639,3447928.5,1036601.25,1391602.125,1665125.375,1501723.125,2755693.5,4168549,3341207.25,3186616.5,8262238,1.58E+07,1.04E+07,1.03E+07,1.09E+07,1.08E+07,4884401,6014939.5
301.9972862323 Da,303.00628,,,164830.125,219289.8594,118720.5781,78664.02344,121104.8203,169475.7813,134916.2188,205522.6094,0,208116.5625,172680.125,0,163254.6875,188060.375,109859.1016,218163.4375,73235.35156,75114.63281,0,0
355.9248686229 Da,356.93227,,,3219002.5,4125562.5,2519717,1648839.875,3904386.5,4229281,4326646.5,4946645.5,2735061.25,2786461.75,2331925.5,1046555.813,3213063.75,3556497.75,2379061,4412252,1218502,1332453.375,582496.4375,411907.75
587.1168108134 Da,610.10523,,,0,0,0,0,0,0,42847.05078,0,0,0,0,0,0,0,0,0,0,0,0,0
256.0345217185 Da,257.04294,,,1219275,1487064.125,613760.5625,516754.6563,1088542.625,1012307.063,567860.3125,1112446.125,1168615.625,1087033.875,867217.5625,361284.75,1625388.75,634289.8125,685330.25,1159942,404041.125,337882.7813,391153.3125,187035.625
786.1606973284 Da,787.16839,,,2577490.5,2951556.5,2338686.75,1732863.25,3914268,5277159.5,2895656,4828044.5,3460560.5,2599385.75,2314271.25,1375245.75,3419582.5,2316081.5,2691714.5,3659747.25,1633575.75,1624970,1364127.125,646300.375
713.3693766627 Da,714.37694,,,2613554.25,2138420.75,2879432,3463112.25,1246113.75,1011096.938,1561902.25,1169073.75,1630308.75,1647584.125,1785132.625,2401080.5,6054269,5530323,6669200.5,4147326,5003464,5662493,5098221,4128302
677.4611142046 Da,678.46771,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642.0117404929 Da,643.01796,,,171314.625,215205.875,0,0,255685.5,328609.8125,267784.25,356689.2813,0,154407.9844,0,0,0,141368.1563,0,0,0,0,32652.60547,0
773.5915415306 Da,774.59993,PC 35:01,C43H84NO8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576.5106169145 Da,577.51755,,,0,0,0,0,0,0,0,0,212166.4688,0,130441.3672,0,0,0,0,37194.70313,0,0,0,0
349.0748868204 Da,350.08291,,,4890359.5,4965405,4846149,4065027,4232392.5,4507162,4210415.5,4291061.5,6865904,5971750,5459315.5,4450050.5,4906265,4212326,4299066.5,4605590.5,3956476.5,3742032.75,0,2354208.25
621.3592482052 Da,622.36748,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699.9905622761 Da,738.94876,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457.1084689155 Da,458.11553,,,1906286.375,2135899.75,1833522.5,1527933,3117620.5,3943296.5,3801924.75,3659260.75,2309376.75,2002125.625,1914813.125,1342608,1976147.5,2241002.5,2240067,2218167.25,1564394.5,1515526.5,994713.9375,788694.5625
270.0319680249 Da,293.022,,,0,302965.8125,0,0,0,0,0,224445.4375,0,0,0,0,0,194984.5938,0,218622,0,0,0,0
391.0055153632 Da,392.01341,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438.3802119829 Da,439.38702,,,270462,268395.1563,274676.75,180451.375,422909.6875,612208.4375,728336.3125,584810.5,105733.5234,195414.9219,150519,127975.6797,140699.0156,289705.6875,188158.1406,137998.5313,221419.2031,206316.6094,75492.97656,101591.8125
444.0611430102 Da,483.02091,,,0,0,0,62350.69922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841.0885988395 Da,842.09673,,,1243081,1929938.875,825750.1875,586845.5,1713557.375,1924452.125,1371648.75,2187823.25,1113151.5,1194813,918321.125,323753.7813,2086586.125,1543100.875,1112484,2744645.25,426828.75,326290.1563,0,0
687.1022465255 Da,688.10988,,,1699766.875,1983652.25,2228969.5,1837231.25,4082167.5,5071390.5,5810990.5,4406928.5,2539513,2046958.125,1778592.5,1620071,2946861.25,3245766.25,3063290.75,3361181.75,2055551.875,2641371,0,1302753.5
715.9574153391 Da,716.96372,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527.9755544891 Da,550.9639,,,130645.1563,170017.7656,103701.7344,82245.40625,368070.6875,367791.1563,292873.8125,434146.125,219908.3281,244237.7188,221839.0781,103169.1016,190274.6094,151408.7344,144879.8281,211058.6406,137994.4375,122441.7188,100984.3047,59223.5
330.0218659192 Da,331.02763,,,772695.4375,756500.375,395619.5625,464489.7813,1102324.625,505242,283779.4375,569227.4375,2109980.25,1389362.125,1900599,856740.75,2484404.25,580790.875,1208920,1642113.25,601833.25,488348.0313,1079855.25,553928.375
328.1464562846 Da,329.15406,,,4597492.5,4647142.5,3310258.25,2529545.75,5556041.5,4175726.5,3123243.25,4538684,4911477.5,4862240.5,5604078,2834374.75,4802744.5,3152020.25,3036473.75,3986321.25,2808347.75,2717961.25,2676516.5,1966698
938.5307718583 Da,939.53881,,,2727089.75,2939914.5,4025991.25,2884462.5,2888958.75,4487337,7829988,4441813,2050460.125,3880310.25,3002981.75,3131965,1955374.875,5285225,3168034.75,2252223.5,3923266.75,3932886.25,1357472.625,2161578
360.9624960070 Da,361.96938,,,189397.1875,245808.7656,143894.0625,98933.61719,133259.2813,0,0,219444.0625,138811.9531,157442.7969,110217.7656,73325.15625,620800.875,538303.0625,496173.5313,381694,0,61805.91406,0,39713.28906
391.0221389872 Da,414.01015,,,116622.3047,0,0,0,555780.25,539407.125,390306.4063,415656.0938,632265.375,424014.5313,0,265764.9375,0,0,0,347223.6563,473554.8125,0,0,214728.6719
550.4951487077 Da,551.50225,,,5779205.5,5948147,3121984.75,2825582.25,7068622.5,8391873,4942530,7705862.5,4415574,3234793.75,3059717.75,1399070.375,3071397.5,2540727,2133079.5,2694715.5,1725250.625,1707075.375,1353586,0
685.9997981847 Da,708.99081,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659.9992096855 Da,661.00657,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780.1843675007 Da,803.1725,,,1908000.875,2173964,3064133,2638006.75,2034349.25,2754910.25,2430751,2800342.25,1822241.125,1837017.375,1650702.875,1822548.375,2682835.25,2875292.5,2793570.5,2135746.5,1936149.125,2181916.5,1824901.125,1533712.5
486.2316853168 Da,487.23904,,,0,0,0,1682991.375,0,0,0,0,0,0,0,3011758.75,4572662,3668209.75,4034274.75,0,0,4260900,4737116.5,3949502.75
